year,kt,party,id_kt,others_name,ap_i,vote,ap_s,seats,kname,s
1995,JU,cvp,JU1995,,,38.20000076293945,0,,Jura,1
1999,JU,cvp,JU1999,,,39.20000076293945,0,,Jura,1
2003,JU,cvp,JU2003,,,39.45455932617188,0,,Jura,1
2007,JU,cvp,JU2007,,,25,-1,,Jura,0
2011,JU,cvp,JU2011,,,33.20000076293945,0,,Jura,1
1995,LU,cvp,LU1995,,,37.29999923706055,0,,Luzern,4
1999,LU,cvp,LU1999,,LU99B,33.79999923706055,0,,Luzern,4
2003,LU,cvp,LU2003,,,29.45375442504883,0,,Luzern,3
2007,LU,cvp,LU2007,,,31.29999923706055,0,,Luzern,3
2011,LU,cvp,LU2011,,LU11A,27.10000038146973,0,,Luzern,3
1995,NE,cvp,NE1995,,,0,0,,Neuenburg,0
1999,NE,cvp,NE1999,,,0,0,,Neuenburg,0
2003,NE,cvp,NE2003,,,0,0,,Neuenburg,0
2007,NE,cvp,NE2007,,,3.299999952316284,0,,Neuenburg,0
2011,NE,cvp,NE2011,,NE11A,3.5,0,,Neuenburg,0
1995,NW,cvp,NW1995,,,32.09999847412109,0,,Nidwalden,0
1999,NW,cvp,NW1999,,,0,0,,Nidwalden,0
2003,NW,cvp,NW2003,,,0,0,,Nidwalden,0
2007,NW,cvp,NW2007,,,0,0,,Nidwalden,0
2011,NW,cvp,NW2011,,,0,0,,Nidwalden,0
1995,OW,cvp,OW1995,,,94.19999694824219,0,,Obwalden ,1
1999,OW,cvp,OW1999,,,0,0,,Obwalden ,1
2003,OW,cvp,OW2003,,,66.39701080322266,0,,Obwalden ,1
2007,OW,cvp,OW2007,,,32.5,0,,Obwalden ,0
2011,OW,cvp,OW2011,,,0,0,,Obwalden ,0
1995,SG,cvp,SG1995,,,31,-1,,St. Gallen,4
1999,SG,cvp,SG1999,,SG99A,26.20000076293945,0,,St. Gallen,4
2003,SG,cvp,SG2003,,,22.17417907714844,0,,St. Gallen,3
2007,SG,cvp,SG2007,,,21.39999961853027,0,,St. Gallen,3
2011,SG,cvp,SG2011,,SG11A,20.29999923706055,0,,St. Gallen,3
1995,SH,cvp,SH1995,,,0,0,,Schaffhausen,0
1999,SH,cvp,SH1999,,,0,0,,Schaffhausen,0
2003,SH,cvp,SH2003,,SH03A,2.651588916778565,0,,Schaffhausen,0
2007,SH,cvp,SH2007,,,0,0,,Schaffhausen,0
2011,SH,cvp,SH2011,,SH11B,5.199999809265137,0,,Schaffhausen,0
1995,SO,cvp,SO1995,,,21.5,0,,Solothurn,2
1999,SO,cvp,SO1999,,,21.39999961853027,0,,Solothurn,2
2003,SO,cvp,SO2003,,,21.02229881286621,0,,Solothurn,1
2007,SO,cvp,SO2007,,SO07B,20.39999961853027,0,,Solothurn,2
2011,SO,cvp,SO2011,,SO11C,17.89999961853027,1,,Solothurn,2
1995,SZ,cvp,SZ1995,,,27.39999961853027,0,,Schwyz,1
1999,SZ,cvp,SZ1999,,,27.29999923706055,0,,Schwyz,1
2003,SZ,cvp,SZ2003,,,23.44222831726074,0,,Schwyz,1
2007,SZ,cvp,SZ2007,,,20.10000038146973,0,,Schwyz,1
2011,SZ,cvp,SZ2011,,,20.60000038146973,0,,Schwyz,1
1995,TG,cvp,TG1995,,TG95A,13,0,,Thurgau,1
1999,TG,cvp,TG1999,,TG99A,15.69999980926514,0,,Thurgau,1
2003,TG,cvp,TG2003,,TG03B,16.45064926147461,0,,Thurgau,1
2007,TG,cvp,TG2007,,TG07B,15.19999980926514,0,,Thurgau,1
2011,TG,cvp,TG2011,,,14.39999961853027,0,,Thurgau,1
1995,TI,cvp,TI1995,,,28.39999961853027,-1,,Tessin,2
1999,TI,cvp,TI1999,,,25.89999961853027,0,,Tessin,2
2003,TI,cvp,TI2003,,,24.55930709838867,0,,Tessin,2
2007,TI,cvp,TI2007,,,24.10000038146973,0,,Tessin,2
2011,TI,cvp,TI2011,,,20,0,,Tessin,2
1995,UR,cvp,UR1995,,,0,0,,Uri,0
1999,UR,cvp,UR1999,,,0,0,,Uri,0
2003,UR,cvp,UR2003,,,0,0,,Uri,0
2007,UR,cvp,UR2007,,,0,0,,Uri,0
2011,UR,cvp,UR2011,,,0,0,,Uri,0
1995,VD,cvp,VD1995,,VD95A,5.599999904632568,0,,Waadt,1
1999,VD,cvp,VD1999,,VD99A,4.5,0,,Waadt,1
2003,VD,cvp,VD2003,,VD03A,4.44265079498291,-1,,Waadt,0
2007,VD,cvp,VD2007,,VD07B,5.599999904632568,0,,Waadt,1
2011,VD,cvp,VD2011,,VD11C,4.599999904632568,0,,Waadt,1
1995,VS,cvp,VS1995,,,54.79999923706055,0,,Wallis,4
1999,VS,cvp,VS1999,,,51.40000152587891,0,,Wallis,4
2003,VS,cvp,VS2003,,,47.85071563720703,-1,,Wallis,3
2007,VS,cvp,VS2007,,,44.90000152587891,0,,Wallis,4
2011,VS,cvp,VS2011,,,39.90000152587891,-1,,Wallis,3
